Bankleitzahl;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC
50870005;Deutsche Bank;64344;Griesheim;Deutsche Bank Griesheim Hes;27104;DEUTDEFF551
50870005;Deutsche Bank;64521;Groß-Gerau;Deutsche Bank Groß-Gerau;27104;DEUTDEFF552
50870024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);64219;Darmstadt;DB PFK (Deutsche Bank PGK);21104;DEUTDEDB508
50870024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);64344;Griesheim;DB PFK (Deutsche Bank PGK);21104;DEUTDEDB554
50870024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);64521;Groß-Gerau;DB PFK (Deutsche Bank PGK);21104;DEUTDEDB555
50880050;Commerzbank vormals Dresdner Bank;64219;Darmstadt;Commerzbank Darmstadt;28508;DRESDEFF508
50880085;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1;64207;Darmstadt;Commerzbank ITGK1 Darmstd;;DRESDEFFJ14
50880086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 2;64202;Darmstadt;Commerzbank ITGK2 Darmstd;;DRESDEFFJ15
50890000;Volksbank Darmstadt - Südhessen;64218;Darmstadt;VB Darmstadt - Südhessen;95005;GENODEF1VBD
50890634;apoBank;64218;Darmstadt;apoBank Darmstadt;95228;DAAEDED1034
50950068;Sparkasse Bensheim;64601;Bensheim;Sparkasse Bensheim;55068;HELADEF1BEN
50951469;Sparkasse Starkenburg;64646;Heppenheim (Bergstraße);Sparkasse Starkenburg;55069;HELADEF1HEP
50961206;Raiffeisenbank Ried;68638;Bürstadt;Raiffeisenbank Bürstadt;65080;GENODE51RBU
50961312;Raiffeisenbank Groß-Rohrheim;68649;Groß-Rohrheim;Raiffbk Groß-Rohrheim;65096;GENODE51GRM
50961592;Volksbank Weschnitztal;64668;Rimbach;Volksbank Weschnitztal;65595;GENODE51FHO
50961685;Volksbank Überwald-Gorxheimertal;69518;Abtsteinach;Volksbank Überwald-Gorxheim;65592;GENODE51ABT
50970004;Deutsche Bank;64602;Bensheim;Deutsche Bank Bensheim;27103;DEUTDEFF509
50970004;Deutsche Bank;64631;Heppenheim (Bergstraße);Deutsche Bank Heppenheim;27103;DEUTDEFF519
50970024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);64602;Bensheim;DB PFK (Deutsche Bank PGK);21103;DEUTDEDB509
50970024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);64631;Heppenheim (Bergstraße);DB PFK (Deutsche Bank PGK);21103;DEUTDEDB519
51010400;Aareal Bank;65011;Wiesbaden;Aareal Bank;26716;AARBDE5WXXX
51020000;BHF-BANK;65185;Wiesbaden;BHF-BANK Wiesbaden;25163;BHFBDEFF510
51020186;UniCredit Bank - HypoVereinsbank;65004;Wiesbaden;UniCredit Bank-HypoVereinbk;22094;HYVEDEMM478
51040038;Commerzbank;65009;Wiesbaden;Commerzbank Wiesbaden;24510;COBADEFFXXX
51050015;Nassauische Sparkasse;65034;Wiesbaden;Nass Spk Wiesbaden;55115;NASSDE55XXX
51051000;S Broker Wiesbaden;65203;Wiesbaden;S Broker Wiesbaden;;PULSDE5WXXX
51070021;Deutsche Bank;65011;Wiesbaden;Deutsche Bank Wiesbaden;27111;DEUTDEFF510
51070021;Deutsche Bank;65332;Eltville am Rhein;Deutsche Bank Eltville;27111;DEUTDEFF512
51070021;Deutsche Bank;65232;Taunusstein;Deutsche Bank Taunusstein;27111;DEUTDEFF514
51070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);65011;Wiesbaden;DB PFK (Deutsche Bank PGK);21111;DEUTDEDB510
51070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);65332;Eltville am Rhein;DB PFK (Deutsche Bank PGK);21111;DEUTDEDB512
51070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);65232;Taunusstein;DB PFK (Deutsche Bank PGK);21111;DEUTDEDB514
51080060;Commerzbank vormals Dresdner Bank;65012;Wiesbaden;Commerzbank Wiesbaden;28510;DRESDEFF510
51080085;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1;65004;Wiesbaden;Commerzbank ITGK1 Wiesbdn;;DRESDEFFJ16
51080086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK2;65004;Wiesbaden;Commerzbank ITGK2 Wiesbdn;;DRESDEFFJ17
51089410;Commerzbank vormals Dresdner Bank ITGK;65012;Wiesbaden;Commerzbank Wiesbad. ITGK;;DRESDEFFI20
51090000;Wiesbadener Volksbank;65050;Wiesbaden;Wiesbadener Volksbank;95006;WIBADE5WXXX
51090636;apoBank;65011;Wiesbaden;apoBank Wiesbaden;95237;DAAEDED1036
51091500;Rheingauer Volksbank;65359;Geisenheim;Rheingauer Volksbank;95151;GENODE51RGG
51091501;Rheingauer Volksbank (Gf GAA);65366;Geisenheim;Rheingauer Voba (Gf GAA);;GENODE51RGG
51091700;vr bank Untertaunus;65501;Idstein;vr bank Untertaunus;95164;VRBUDE51XXX
51091711;vr bank Untertaunus;65501;Idstein;vr bank Untertaunus;95273;VRBUDE51XXX
51140029;Commerzbank;65549;Limburg;Commerzbank Limburg Lahn;24513;COBADEFFXXX
51150018;Kreissparkasse Limburg;65534;Limburg;Kr Spk Limburg;55118;HELADEF1LIM
51151919;Kreissparkasse Weilburg;35773;Weilburg;Kr Spk Weilburg;55119;HELADEF1WEI
51161606;Volksbank Langendernbach;65599;Dornburg;Volksbank Langendernbach;65146;GENODE51LDD
51170010;Deutsche Bank;65549;Limburg;Deutsche Bank Limburg Lahn;27050;DEUTDEFF511
51170024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);65549;Limburg;DB PFK (Deutsche Bank PGK);21050;DEUTDEDB511
51180041;Commerzbank vormals Dresdner Bank;65534;Limburg;Commerzbank Limburg Lahn;;DRESDEFF511
51191800;Volksbank Schupbach;65614;Beselich;Volksbank Schupbach;95170;GENODE51SBH
51210600;BNP Paribas Niederlassung Deutschland;60327;Frankfurt am Main;BNP PARIBAS Ndl Deutschland;29627;BNPADEFFXXX
51210606;BNP Paribas Niederlassung Deutschland;60327;Frankfurt am Main;BNP PARIBAS Frankfurt;;BNPADEFFXXX
51210699;BNP Paribas Niederlassung Deutschland;60327;Frankfurt am Main;BNP PARIBAS Ndl Deutschland;;BNPADEFFXXX
51210700;NIBC Bank Zndl Frankfurt am Main;60311;Frankfurt am Main;NIBC Bank Frankfurt am Main;;NZFMDEF1XXX
51210800;Societe Generale;60311;Frankfurt am Main;SOGEBANK Frankfurt Main;29503;SOGEDEFFXXX
51210801;Societe Generale;60311;Frankfurt am Main;Societe Generale;;SOGEDEFFXXX
51210802;Societe Generale;60311;Frankfurt am Main;Societe Generale;;SOGEDEFFXXX
51211000;NATIXIS Pfandbriefbank;60322;Frankfurt am Main;NATIXIS Pfandbriefbank Ffm;;NATXDEFPXXX
51220200;Skandinaviska Enskilda Banken (publ) Frankfurt Branch;60313;Frankfurt am Main;SEB, Frankfurt;25201;ESSEDEFFXXX
51220211;DSK Hyp;60437;Frankfurt am Main;DSK Hyp;;ESSEDE5F512
51220400;Bank Saderat Iran;60064;Frankfurt am Main;Bank Saderat Iran Frankfurt;29616;SIHRDEH1FFM
51220700;ZIRAAT BANK International;60329;Frankfurt am Main;ZIRAAT BANK;29595;TCZBDEFFXXX
51220800;Banco do Brasil;60311;Frankfurt am Main;Banco do Brasil Frankfurt;;BRASDEFFXXX
51220900;Morgan Stanley Bank;60016;Frankfurt am Main;Morgan Stanley Bank;;MSFFDEFPXXX
51220910;Morgan Stanley Bank;60311;Frankfurt am Main;Morgan Stanley Bank;;MSFFDEFXCND
51230500;Standard Chartered Bank;60325;Frankfurt am Main;SCB Ffm;29044;SCBLDEFXXXX
51230502;Standard Chartered Bank;60325;Frankfurt am Main;SCB FFM;;SCBLDEFXXXX
51230555;Ikano Bank;65205;Wiesbaden;Ikano Wiesbaden;;PLFGDE5AIKB
51230600;Europe ARAB Bank;60323;Frankfurt am Main;Europe ARAB Bank Frankfurt;;ARABDEFFXXX
51230800;Wirecard Bank;85609;Aschheim;Wirecard Bank;99022;WIREDEMMXXX
51230801;Wirecard Bank;85609;Aschheim;Wirecard Bank;;WIREDEMMXXX
51230802;Wirecard Bank;85609;Aschheim;Wirecard Bank;;WIREDEMMXXX
51230805;Wirecard Bank;85609;Aschheim;Wirecard Bank;;WIREDEMMXXX
51250000;Taunus-Sparkasse;61288;Bad Homburg;Taunus-Sparkasse Bad Hombg;55100;HELADEF1TSK
51300000;Bundesbank eh Gießen;60047;Frankfurt am Main;BBk Frankfurt eh Gießen;20513;MARKDEF1513
51340013;Commerzbank;35348;Gießen;Commerzbank Gießen;24534;COBADEFFXXX
51343224;Commerzbank;36291;Alsfeld;Commerzbank Alsfeld;24531;COBADEFFXXX
51350025;Sparkasse Gießen;35347;Gießen;Sparkasse Gießen;55125;SKGIDE5FXXX
51351526;Sparkasse Grünberg;35301;Grünberg;Sparkasse Grünberg;55126;HELADEF1GRU
51352227;Sparkasse Laubach-Hungen;35321;Laubach;Sparkasse Laubach-Hungen;55127;HELADEF1LAU
51361021;Volksbank Heuchelheim;35452;Heuchelheim;Volksbank Heuchelheim;65063;GENODE51HHE
51370008;Deutsche Bank;35348;Gießen;Deutsche Bank Gießen;27114;DEUTDEFF513
51370024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);35348;Gießen;DB PFK (Deutsche Bank PGK);21114;DEUTDEDB513
51380040;Commerzbank vormals Dresdner Bank;35332;Gießen;Commerzbank Gießen;28513;DRESDEFF513
51380085;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1;35400;Gießen;Commerzbank ITGK1 Gießen;;DRESDEFFJ18
51390000;Volksbank Mittelhessen;35340;Gießen;VB Mittelhessen;95008;VBMHDE5FXXX
51410600;Bank of America Merrill Lynch International Zndl Frankfurt;60311;Frankfurt am Main;Bofa Merrill Lynch Intl.FFM;;MELBDEF1XXX
51410700;Bank of China;60075;Frankfurt am Main;Bank of China Frankfurt;29655;BKCHDEFFXXX
51410800;comdirect bank - GB onvista bank;60008;Frankfurt am Main;comdirect + GB onvista bank;;BOURDEFFXXX
51420200;Misr Bank-Europe;60015;Frankfurt am Main;Misr Bank-Europe Ffm;;MIBEDEFFXXX
51420300;Bank Julius Bär Deutschland;60322;Frankfurt am Main;Bank Julius Bär Frankfurt;;BAERDEF1XXX
51420600;Svenska Handelsbanken Deutschland;60313;Frankfurt am Main;Svenska Handelsbanken;29896;HANDDEFFXXX
51430300;Nordea Bank, Niederlassung Frankfurt;60325;Frankfurt am Main;Nordea Bank, Frankfurt;29905;NDEADEFFXXX
51430321;Nordea Bank, Niederlassung Frankfurt;60325;Frankfurt am Main;Nordea Bank Frankfurt;;NDEADEFF321
51430345;Nordea Bank, Niederlassung Frankfurt;60325;Frankfurt am Main;Nordea Bank Frankfurt;;NDEADEFFDKK
51430400;Goldman Sachs;60308;Frankfurt am Main;Goldman Sachs Frankfurt;;GOLDDEFFXXX
51540037;Commerzbank;35523;Wetzlar;Commerzbank Wetzlar;24530;COBADEFFXXX
51550035;Sparkasse Wetzlar;35576;Wetzlar;Sparkasse Wetzlar;55135;HELADEF1WET
51570008;Deutsche Bank;35524;Wetzlar;Deutsche Bank Wetzlar;27054;DEUTDEFF515
51570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);35524;Wetzlar;DB PFK (Deutsche Bank PGK);21054;DEUTDEDB515
51580044;Commerzbank vormals Dresdner Bank;35524;Wetzlar;Commerzbank Wetzlar;;DRESDEFF515
51591300;Volksbank Brandoberndorf;35647;Waldsolms;Volksbank Brandoberndorf;95138;GENODE51WBO
51640043;Commerzbank;35662;Dillenburg;Commerzbank Dillenburg;24532;COBADEFFXXX
51650045;Sparkasse Dillenburg;35683;Dillenburg;Spk Dillenburg;55145;HELADEF1DIL
51752267;Sparkasse Battenberg;35088;Battenberg (Eder);Sparkasse Battenberg;55167;HELADEF1BAT
51762434;VR Bank Lahn-Dill;35683;Dillenburg;VR Bank Lahn-Dill;65237;GENODE51BIK
51850079;Sparkasse Oberhessen;61167;Friedberg (Hessen);Spk Oberhessen;55179;HELADEF1FRI
51861325;BVB Volksbank Ndl d Frankfurter Volksbank;61101;Bad Vilbel;BVB Volksbank;65101;GENODEF1BVB
51861403;Volksbank Butzbach;35510;Butzbach;Volksbank Butzbach;65112;GENODE51BUT
51861616;Landbank Horlofftal;61201;Reichelsheim (Wetterau);LdBk Horlofftal Reichelshei;65152;GENODE51REW
51861806;Volksbank Ober-Mörlen;61239;Ober-Mörlen;Volksbank Ober-Mörlen;65179;GENODE51OBM
51961023;Volksbank Ulrichstein;35327;Ulrichstein;Volksbank Ulrichstein;65064;GENODE51ULR
51961801;Volksbank Feldatal;36325;Feldatal;Volksbank Feldatal;65177;GENODE51FEL
51990000;Volksbank Lauterbach-Schlitz;36332;Lauterbach (Hessen);Volksbank Lauterbach-Schl;95012;GENODE51LB1
52040021;Commerzbank;34111;Kassel;Commerzbank Kassel;24520;COBADEFFXXX
52050000;Landeskreditkasse Kassel;34112;Kassel;Landeskreditkasse Kassel;55200;HELADEFF520
52050353;Kasseler Sparkasse;34117;Kassel;Kasseler Sparkasse;55253;HELADEF1KAS
52051373;Stadtsparkasse Borken (Hessen);34582;Borken (Hessen);St Spk Borken;55273;HELADEF1BOR
52051877;Stadtsparkasse Grebenstein;34389;Grebenstein;St Spk Grebenstein;55277;HELADEF1GRE
52052154;Kreissparkasse Schwalm-Eder;34201;Melsungen;Kreissparkasse Schwalm-Eder;55254;HELADEF1MEG
52053458;Stadtsparkasse Schwalmstadt;34602;Schwalmstadt;St Spk Schwalmstadt;55258;HELADEF1SWA
52060000;DZ BANK;34009;Kassel;DZ BANK;65002;GENODEFF520
52060208;Kurhessische Landbank;34023;Kassel;Kurhessische Landbk Kassel;65023;GENODEF1KS2
52060410;Evangelische Bank;34011;Kassel;Evangelische Bank Kassel;65046;GENODEF1EK1
52061303;Raiffeisenbank Borken Nordhessen;34582;Borken (Hessen);Raiffbk Borken Nordhessen;65092;GENODEF1BOR
52062601;VR PartnerBank Chattengau-Schwalm-Eder;34212;Melsungen;VR PartnerBank;65247;GENODEF1HRV
52063369;VR-Bank Spangenberg-Morschen;34286;Spangenberg;VR-Bank Spangenbg-Morschen;65600;GENODEF1SPB
52063550;Raiffeisenbank HessenNord;34466;Wolfhagen;Raiffeisenbank HessenNord;65590;GENODEF1WOH
52064156;Raiffeisenbank;34217;Baunatal;Raiffeisenbank Baunatal;65310;GENODEF1BTA
52069013;Raiffeisenbank Burghaun;36151;Burghaun;Raiffeisenbank Burghaun;65328;GENODEF1BHN
52069029;Spar-u. Kredit-Bank;35283;Gemünden (Wohra);Spar-u Kredit-Bank Gemünden;65334;GENODEF1GMD
52069149;Raiffeisenbank Volkmarsen;34471;Volkmarsen;Raiffbk Volkmarsen;65391;GENODEF1VLM
52069519;Frankenberger Bank Raiffeisenbank;35066;Frankenberg;Frankenberger Bank;65488;GENODEF1FBK
52070012;Deutsche Bank;34117;Kassel;Deutsche Bank Kassel;27107;DEUTDEFF520
52070012;Deutsche Bank;34216;Baunatal;Deutsche Bank Baunatal;27107;DEUTDEFF523
52070012;Deutsche Bank;34331;Hann. Münden;Deutsche Bank Hann Münden;27107;DEUTDEFF524
52070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);34117;Kassel;DB PFK (Deutsche Bank PGK);21107;DEUTDEDB520
52070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);34216;Baunatal;DB PFK (Deutsche Bank PGK);21107;DEUTDEDB523
52070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);34331;Hann. Münden;DB PFK (Deutsche Bank PGK);21107;DEUTDEDB524
52071212;Deutsche Bank;34535;Bad Wildungen;Deutsche Bank Bad Wildungen;27052;DEUTDEFF521
52071224;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);34535;Bad Wildungen;DB PFK (Deutsche Bank PGK);21051;DEUTDEDB521
52080080;Commerzbank vormals Dresdner Bank;34010;Kassel;Commerzbank Kassel;28520;DRESDEFF520
52080085;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK1;34001;Kassel;Commerzbank ITGK1 Kassel;;DRESDEFFJ19
52090000;Volksbank Kassel Göttingen;34117;Kassel;VB Kassel Göttingen;95013;GENODE51KS1
52090611;apoBank;34008;Kassel;apoBank Kassel;95099;DAAEDED1011
52240006;Commerzbank;37252;Eschwege;Commerzbank Eschwege;24522;COBADEFFXXX
52250030;Sparkasse Werra-Meißner;37254;Eschwege;Sparkasse Werra-Meißner;55230;HELADEF1ESW
52260385;VR-Bank Mitte;37115;Duderstadt;VR-Bank Mitte;65044;GENODEF1ESW
52270012;Deutsche Bank;37252;Eschwege;Deutsche Bank Eschwege;27051;DEUTDEFF522
52270024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);37252;Eschwege;DB PFK (Deutsche Bank PGK);21052;DEUTDEDB522
52350005;Sparkasse Waldeck-Frankenberg;34497;Korbach;Spk Waldeck-Frankenberg;55205;HELADEF1KOR
52360059;Waldecker Bank;34487;Korbach;Waldecker Bank Korbach;65008;GENODEF1KBW
52410300;ReiseBank;60489;Frankfurt am Main;ReiseBank Frankfurt am Main;26946;RBAGDEF1XXX
52410310;ReiseBank Gf2;60489;Frankfurt am Main;ReiseBank Gf2 Frankfurt;26949;RBAGDEF1CMI
52410400;KEB Hana Bank (Deutschland);60325;Frankfurt am Main;KEB Hana Bank (Deutschland);;KOEXDEFAXXX
52411000;ReiseBank Gf3 vormals Cash Express;60489;Frankfurt am Main;ReiseBank vorm.Cash Express;99021;CAGBDEF1XXX
52411010;ReiseBank Gf4 vormals Cash Express;60489;Frankfurt am Main;ReiseBank vorm.Cash Express;99034;CAGBDEF1CMI
52420000;Credit Agricole CIB Deutschland;60325;Frankfurt am Main;Credit Agricole Deutschland;;BSUIDEFFXXX
52420300;SHINHAN BANK EUROPE;60311;Frankfurt am Main;SHINHAN BANK EUROPE Ffm;;SHBKDEFFXXX
52420600;Piraeus Bank Frankfurt Branch;60329;Frankfurt am Main;Piraeus Bank Frankfurt;29925;ABGRDEFFXXX
52420700;SECB Swiss Euro Clearing Bank;60486;Frankfurt am Main;SECB Frankfurt Main;;SECGDEFFXXX
52430000;Credit Mutuel - BECM - Ndl Deutschland;60329;Frankfurt am Main;Credit Mutuel - BECM;;CMCIDEF1XXX
53040012;Commerzbank;36002;Fulda;Commerzbank Fulda;24533;COBADEFFXXX
53050180;Sparkasse Fulda;36035;Fulda;Sparkasse Fulda;55380;HELADEF1FDS
53051396;Kreissparkasse Schlüchtern;36372;Schlüchtern;Kreissparkasse Schlüchtern;55396;HELADEF1SLU
53060180;VR Bank Fulda;36037;Fulda;VR Bank Fulda;65021;GENODE51FUL
53061230;VR-Bank NordRhön;36081;Hünfeld;VR-Bank NordRhön Hünfeld;65085;GENODEF1HUE
53062035;Raiffeisenbank im Fuldaer Land;36133;Großenlüder;RB im Fuldaer LandGrl.;65197;GENODEF1GLU
53062350;Raiffeisenbank Biebergrund-Petersberg;36094;Petersberg;Raiffbk Biebergrd-Petersbg;65228;GENODEF1PBG
53070007;Deutsche Bank;36037;Fulda;Deutsche Bank Fulda;27105;DEUTDEFF530
53070007;Deutsche Bank;36291;Alsfeld;Deutsche Bank Alsfeld;27105;DEUTDEFF531
53070007;Deutsche Bank;36333;Lauterbach (Hessen);Deutsche Bank Lauterbach He;27105;DEUTDEFF534
53070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);36037;Fulda;DB PFK (Deutsche Bank PGK);21105;DEUTDEDB530
53070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);36291;Alsfeld;DB PFK (Deutsche Bank PGK);21105;DEUTDEDB531
53070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);36333;Lauterbach (Hessen);DB PFK (Deutsche Bank PGK);21105;DEUTDEDB534
53080030;Commerzbank vormals Dresdner Bank;36002;Fulda;Commerzbank Fulda;28530;DRESDEFF530
53093200;VR Bank HessenLand;36295;Alsfeld;VR Bank HessenLand;95272;GENODE51ALS
53093255;AgrarBank;36295;Alsfeld;AgrarBank Alsfeld;95275;GENODE51AGR
53240048;Commerzbank;36222;Bad Hersfeld;Commerzbank Bad Hersfeld;24521;COBADEFFXXX
53250000;Sparkasse Bad Hersfeld-Rotenburg;36229;Bad Hersfeld;Spk Bad Hersfeld-Rotenburg;55300;HELADEF1HER
53261342;Raiffeisenbank Werratal-Landeck;36266;Heringen (Werra);Raiffbk Werratal-Landeck;65103;GENODEF1RAW
53270012;Deutsche Bank;36223;Bad Hersfeld;Deutsche Bank Bad Hersfeld;27053;DEUTDEFF532
53270024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);36223;Bad Hersfeld;DB PFK (Deutsche Bank PGK);21053;DEUTDEDB518
53280081;Commerzbank vormals Dresdner Bank;36251;Bad Hersfeld;Commerzbank Bad Hersfeld;;DRESDEFF532
53290000;VR-Bankverein Bad Hersfeld-Rotenburg;36251;Bad Hersfeld;VR-Bankverein Bad Hersfeld;95017;GENODE51BHE
53340024;Commerzbank;35002;Marburg;Commerzbank Marburg Lahn;24535;COBADEFFXXX
53350000;Sparkasse Marburg-Biedenkopf;35009;Marburg;Spk Marburg-Biedenkopf;55311;HELADEF1MAR
53370008;Deutsche Bank;35017;Marburg;Deutsche Bank Marburg Lahn;27055;DEUTDEFF533
53370024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);35017;Marburg;DB PFK (Deutsche Bank PGK);21055;DEUTDEDB533
53380042;Commerzbank vormals Dresdner Bank;35003;Marburg;Commerzbank Marburg Lahn;;DRESDEFF533
53381843;Commerzbank vormals Dresdner Bank;35251;Stadtallendorf;Commerzbank Stadtallendf;;DRESDEFF568
53390635;apoBank;35398;Gießen;apoBank Gießen;95235;DAAEDED1035
54020090;UniCredit Bank - HypoVereinsbank;67608;Kaiserslautern;UniCredit Bank-HypoVereinbk;22040;HYVEDEMM482
54030011;Service Credit Union Overseas Headquarters;67681;Sembach;Service Credit Union;23962;SCRUDE51XXX
54040042;Commerzbank;67611;Kaiserslautern;Commerzbank Kaiserslautern;24672;COBADEFFXXX
54050110;Stadtsparkasse Kaiserslautern;67653;Kaiserslautern;St Spk Kaiserslautern;55421;MALADE51KLS
54050220;Kreissparkasse Kaiserslautern;67653;Kaiserslautern;Kr Spk Kaiserslautern;55420;MALADE51KLK
54051550;Kreissparkasse Kusel;66864;Kusel;Kr Spk Kusel;55427;MALADE51KUS
54051990;Sparkasse Donnersberg;67802;Rockenhausen;Sparkasse Donnersberg;55448;MALADE51ROK
54070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);67611;Kaiserslautern;DB PFK (Deutsche Bank PGK);21191;DEUTDEDB540
54070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);66841;Landstuhl;DB PFK (Deutsche Bank PGK);21191;DEUTDEDB541
54070092;Deutsche Bank;67611;Kaiserslautern;Deutsche Bank Kaiserslauter;27191;DEUTDESM540
54070092;Deutsche Bank;66841;Landstuhl;Deutsche Bank Landstuhl;27191;DEUTDESM541
54080021;Commerzbank vormals Dresdner Bank;67611;Kaiserslautern;Commerzbk Kaiserslautern;28540;DRESDEFF540
54090000;Volksbank Kaiserslautern;67655;Kaiserslautern;Voba Kaiserslautern;95019;GENODE61KL1
54091700;Volksbank Lauterecken;67738;Lauterecken;Volksbank Lauterecken;95166;GENODE61LEK
54092400;Volksbank Glan-Münchweiler;66905;Glan-Münchweiler;Volksbank Glan-Münchweiler;95194;GENODE61GLM
54220091;UniCredit Bank - HypoVereinsbank;66923;Pirmasens;UniCredit Bank-HypoVereinbk;22069;HYVEDEMM485
54240032;Commerzbank;66953;Pirmasens;Commerzbank Pirmasens;24676;COBADEFFXXX
54250010;Sparkasse Südwestpfalz;66930;Pirmasens;Spk Südwestpfalz Pirmasens;55446;MALADE51SWP
54261700;VR-Bank Südwestpfalz Pirmasens-Zweibrücken;66953;Pirmasens;VR-Bank Südwestpfalz;65162;GENODE61ROA
54270024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);66923;Pirmasens;DB PFK (Deutsche Bank PGK);21201;DEUTDEDB542
54270024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);66462;Zweibrücken;DB PFK (Deutsche Bank PGK);21201;DEUTDEDB543
54270096;Deutsche Bank;66923;Pirmasens;Deutsche Bank Pirmasens;27201;DEUTDESM542
54270096;Deutsche Bank;66462;Zweibrücken;Deutsche Bank Zweibrücken;27201;DEUTDESM543
54280023;Commerzbank vormals Dresdner Bank;66923;Pirmasens;Commerzbank Pirmasens;28542;DRESDEFF542
54500000;Bundesbank;67008;Ludwigshafen am Rhein;BBk Ludwigshafen am Rhein;20545;MARKDEF1545
54510067;Postbank Ndl der DB Privat- und Firmenkundenbank;67057;Ludwigshafen am Rhein;Postbank Ndl DB PFK;10067;PBNKDEFFXXX
54520194;UniCredit Bank - HypoVereinsbank;67003;Ludwigshafen am Rhein;UniCredit Bank-HypoVereinbk;22053;HYVEDEMM483
54520194;UniCredit Bank - HypoVereinsbank;67262;Grünstadt;UniCredit Bank-HypoVereinbk;22053;HYVEDEMM483
54520194;UniCredit Bank - HypoVereinsbank;67445;Haßloch;UniCredit Bank-HypoVereinbk;22053;HYVEDEMM483
54520194;UniCredit Bank - HypoVereinsbank;67202;Frankenthal (Pfalz);UniCredit Bank-HypoVereinbk;22053;HYVEDEMM483
54520194;UniCredit Bank - HypoVereinsbank;67346;Speyer;UniCredit Bank-HypoVereinbk;22053;HYVEDEMM483
54520194;UniCredit Bank - HypoVereinsbank;76801;Landau in der Pfalz;UniCredit Bank-HypoVereinbk;22053;HYVEDEMM483
54540033;Commerzbank;67003;Ludwigshafen am Rhein;Commerzbank Ludwigshafen Rh;24674;COBADEFFXXX
54550010;Sparkasse Vorderpfalz;67059;Ludwigshafen am Rhein;Sparkasse Vorderpfalz;55434;LUHSDE6AXXX
54550120;Kreissparkasse Rhein-Pfalz;67071;Ludwigshafen am Rhein;Kreissparkasse Rhein-Pfalz;55433;MALADE51LUH
54570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);67003;Ludwigshafen am Rhein;DB PFK (Deutsche Bank PGK);21195;DEUTDEDB545
54570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);55220;Alzey;DB PFK (Deutsche Bank PGK);21195;DEUTDEDB549
54570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);67203;Frankenthal (Pfalz);DB PFK (Deutsche Bank PGK);21195;DEUTDEDB544
54570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);67117;Limburgerhof;DB PFK (Deutsche Bank PGK);21195;DEUTDEDB550
54570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);67323;Speyer;DB PFK (Deutsche Bank PGK);21195;DEUTDEDB547
54570024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);67547;Worms;DB PFK (Deutsche Bank PGK);21195;DEUTDEDB553
54570094;Deutsche Bank;67003;Ludwigshafen am Rhein;Deutsche Bank Ludwigshafen;27195;DEUTDESM545
54570094;Deutsche Bank;67203;Frankenthal (Pfalz);Deutsche Bank Frankenthal;27195;DEUTDESM544
54570094;Deutsche Bank;55220;Alzey;Deutsche Bank Alzey;27195;DEUTDESM549
54570094;Deutsche Bank;67117;Limburgerhof;Deutsche Bank Limburgerhof;27195;DEUTDESM550
54570094;Deutsche Bank;67323;Speyer;Deutsche Bank Speyer;27195;DEUTDESM547
54570094;Deutsche Bank;67547;Worms;Deutsche Bank Worms;27195;DEUTDESM553
